Violation_ID,Frame_Number,Timestamp_Sec,Violation_Type,Rider_Confidence,Plate_Detected,Plate_Text,Plate_Confidence,Plate_Crop_Path,Rider_BBox,Plate_BBox
44,107,1.78,Person_on_Bike,0.63,Yes,Low_Confidence,0.42,../results/plate_crops/frame000107_v1_plate.jpg,"[184.5594940185547, 111.54835510253906, 363.6197204589844, 459.45574951171875]","[296.77642822265625, 335.6499328613281, 350.2145080566406, 387.4403381347656]"
45,108,1.80,No_helmet,0.76,No,N/A,,,"[245.5243377685547, 122.55989074707031, 297.5144958496094, 178.4857177734375]",
46,108,1.80,Person_on_Bike,0.61,No,N/A,,,"[186.8063507080078, 112.03669738769531, 358.670166015625, 458.4075012207031]",
47,109,1.82,No_helmet,0.84,Yes,N/A,0.44,../results/plate_crops/frame000109_v0_plate.jpg,"[243.4718017578125, 124.3123779296875, 291.2685546875, 177.0278778076172]","[291.18609619140625, 329.4501953125, 344.054931640625, 377.754150390625]"
48,109,1.82,Person_on_Bike,0.71,Yes,N/A,0.44,../results/plate_crops/frame000109_v1_plate.jpg,"[187.1163330078125, 113.56813049316406, 359.9099426269531, 452.54718017578125]","[291.18609619140625, 329.4501953125, 344.054931640625, 377.754150390625]"
49,110,1.83,No_helmet,0.83,Yes,N/A,0.51,../results/plate_crops/frame000110_v0_plate.jpg,"[239.98648071289062, 124.05760955810547, 286.4281921386719, 176.4336395263672]","[284.96075439453125, 322.730712890625, 339.4767761230469, 376.37921142578125]"
50,110,1.83,Person_on_Bike,0.59,Yes,N/A,0.51,../results/plate_crops/frame000110_v1_plate.jpg,"[186.84921264648438, 116.01266479492188, 348.9437561035156, 447.0319519042969]","[284.96075439453125, 322.730712890625, 339.4767761230469, 376.37921142578125]"
51,111,1.85,No_helmet,0.84,Yes,N/A,0.44,../results/plate_crops/frame000111_v0_plate.jpg,"[237.94512939453125, 125.20679473876953, 283.6769714355469, 177.50123596191406]","[282.7536315917969, 320.3919677734375, 338.68170166015625, 373.8041076660156]"
52,111,1.85,Person_on_Bike,0.57,Yes,N/A,0.44,../results/plate_crops/frame000111_v1_plate.jpg,"[182.33775329589844, 111.26744842529297, 348.3917236328125, 444.9231262207031]","[282.7536315917969, 320.3919677734375, 338.68170166015625, 373.8041076660156]"
53,112,1.87,No_helmet,0.80,Yes,ระ,0.47,../results/plate_crops/frame000112_v0_plate.jpg,"[234.3247528076172, 124.90308380126953, 281.5734558105469, 177.3157501220703]","[281.01727294921875, 319.7442932128906, 332.67388916015625, 366.9642639160156]"
54,112,1.87,Person_on_Bike,0.35,Yes,ระ,0.47,../results/plate_crops/frame000112_v1_plate.jpg,"[174.60174560546875, 108.16748046875, 346.6151123046875, 443.28082275390625]","[281.01727294921875, 319.7442932128906, 332.67388916015625, 366.9642639160156]"
55,113,1.88,No_helmet,0.79,Yes,Low_Confidence,0.51,../results/plate_crops/frame000113_v0_plate.jpg,"[232.15170288085938, 125.00870513916016, 279.2113037109375, 176.82652282714844]","[276.5734558105469, 316.63812255859375, 327.4208068847656, 366.7223815917969]"
56,113,1.88,Person_on_Bike,0.54,Yes,Low_Confidence,0.51,../results/plate_crops/frame000113_v1_plate.jpg,"[177.0768585205078, 112.28922271728516, 342.4737548828125, 441.7447204589844]","[276.5734558105469, 316.63812255859375, 327.4208068847656, 366.7223815917969]"
57,114,1.90,No_helmet,0.80,Yes,รา,0.45,../results/plate_crops/frame000114_v0_plate.jpg,"[228.28939819335938, 124.85565185546875, 276.4537048339844, 176.08673095703125]","[273.26690673828125, 313.5241394042969, 325.4815368652344, 364.0795593261719]"
58,114,1.90,Person_on_Bike,0.57,Yes,รา,0.45,../results/plate_crops/frame000114_v1_plate.jpg,"[178.6420135498047, 113.4691390991211, 343.1141357421875, 440.95465087890625]","[273.26690673828125, 313.5241394042969, 325.4815368652344, 364.0795593261719]"
59,115,1.92,No_helmet,0.81,Yes,N/A,0.44,../results/plate_crops/frame000115_v0_plate.jpg,"[227.9549102783203, 125.56620788574219, 274.8587951660156, 175.26458740234375]","[270.595458984375, 310.6322021484375, 324.7389831542969, 361.5859069824219]"
60,115,1.92,Person_on_Bike,0.38,Yes,N/A,0.44,../results/plate_crops/frame000115_v1_plate.jpg,"[176.15467834472656, 114.49832153320312, 341.16180419921875, 432.0852966308594]","[270.595458984375, 310.6322021484375, 324.7389831542969, 361.5859069824219]"
61,116,1.93,No_helmet,0.79,Yes,N/A,0.46,../results/plate_crops/frame000116_v0_plate.jpg,"[225.4261016845703, 125.7391128540039, 271.1684265136719, 175.80426025390625]","[269.0306091308594, 309.8727111816406, 318.60577392578125, 355.3243408203125]"
62,116,1.93,Person_on_Bike,0.58,Yes,N/A,0.46,../results/plate_crops/frame000116_v1_plate.jpg,"[176.44601440429688, 114.41764831542969, 334.4597473144531, 422.7334289550781]","[269.0306091308594, 309.8727111816406, 318.60577392578125, 355.3243408203125]"
63,117,1.95,No_helmet,0.82,Yes,N/A,0.45,../results/plate_crops/frame000117_v0_plate.jpg,"[222.56959533691406, 126.17683410644531, 269.8423767089844, 175.24301147460938]","[264.9976501464844, 305.7763671875, 314.78179931640625, 355.3191833496094]"
64,117,1.95,Person_on_Bike,0.53,Yes,N/A,0.45,../results/plate_crops/frame000117_v1_plate.jpg,"[174.61338806152344, 115.48887634277344, 333.86529541015625, 417.5332946777344]","[264.9976501464844, 305.7763671875, 314.78179931640625, 355.3191833496094]"
65,118,1.97,No_helmet,0.83,Yes,N/A,0.41,../results/plate_crops/frame000118_v0_plate.jpg,"[221.97955322265625, 126.72651672363281, 266.9671630859375, 174.70211791992188]","[263.205810546875, 305.53704833984375, 314.30889892578125, 352.0921325683594]"
66,118,1.97,Person_on_Bike,0.72,Yes,N/A,0.41,../results/plate_crops/frame000118_v1_plate.jpg,"[176.40469360351562, 118.10514068603516, 326.3132629394531, 412.3384704589844]","[263.205810546875, 305.53704833984375, 314.30889892578125, 352.0921325683594]"
67,119,1.98,No_helmet,0.83,Yes,N/A,0.45,../results/plate_crops/frame000119_v0_plate.jpg,"[220.1056365966797, 127.00178527832031, 265.57781982421875, 174.62835693359375]","[260.3525390625, 302.4100036621094, 313.39654541015625, 348.2059020996094]"
68,119,1.98,Person_on_Bike,0.55,Yes,N/A,0.45,../results/plate_crops/frame000119_v1_plate.jpg,"[174.56118774414062, 118.69719696044922, 326.72137451171875, 409.1201171875]","[260.3525390625, 302.4100036621094, 313.39654541015625, 348.2059020996094]"
69,120,2.00,No_helmet,0.79,Yes,N/A,0.47,../results/plate_crops/frame000120_v0_plate.jpg,"[217.49684143066406, 126.65336608886719, 264.6009826660156, 175.13955688476562]","[258.07025146484375, 301.17010498046875, 304.3661193847656, 344.0127868652344]"
70,120,2.00,Person_on_Bike,0.42,Yes,N/A,0.47,../results/plate_crops/frame000120_v1_plate.jpg,"[174.307861328125, 119.08384704589844, 326.5010986328125, 408.6802062988281]","[258.07025146484375, 301.17010498046875, 304.3661193847656, 344.0127868652344]"
71,121,2.02,No_helmet,0.80,Yes,N/A,0.41,../results/plate_crops/frame000121_v0_plate.jpg,"[216.2188720703125, 126.88973236083984, 262.34405517578125, 174.92202758789062]","[255.05618286132812, 299.32659912109375, 304.6588439941406, 345.9344177246094]"
72,121,2.02,Person_on_Bike,0.43,Yes,N/A,0.41,../results/plate_crops/frame000121_v1_plate.jpg,"[172.91278076171875, 118.49078369140625, 324.4471435546875, 407.40545654296875]","[255.05618286132812, 299.32659912109375, 304.6588439941406, 345.9344177246094]"
73,122,2.03,No_helmet,0.81,Yes,N/A,0.43,../results/plate_crops/frame000122_v0_plate.jpg,"[215.49566650390625, 127.31010437011719, 259.6559143066406, 174.25711059570312]","[255.17144775390625, 298.5343933105469, 301.05731201171875, 341.5271301269531]"
74,122,2.03,Person_on_Bike,0.41,Yes,N/A,0.43,../results/plate_crops/frame000122_v1_plate.jpg,"[172.46119689941406, 118.25456237792969, 323.21575927734375, 405.37615966796875]","[255.17144775390625, 298.5343933105469, 301.05731201171875, 341.5271301269531]"
75,123,2.05,No_helmet,0.81,Yes,N/A,0.50,../results/plate_crops/frame000123_v0_plate.jpg,"[214.3080291748047, 127.48555755615234, 258.0047912597656, 173.8628387451172]","[252.44525146484375, 296.5520324707031, 300.28814697265625, 338.4949645996094]"
76,124,2.07,No_helmet,0.74,Yes,N/A,0.51,../results/plate_crops/frame000124_v0_plate.jpg,"[211.96554565429688, 127.8058853149414, 253.6191864013672, 173.23837280273438]","[249.4962615966797, 295.9989318847656, 295.13677978515625, 335.5233154296875]"
77,125,2.08,No_helmet,0.51,Yes,Low_Confidence,0.55,../results/plate_crops/frame000125_v0_plate.jpg,"[209.42051696777344, 127.75621032714844, 252.8926239013672, 173.72836303710938]","[246.77447509765625, 293.16033935546875, 292.2940673828125, 335.1759948730469]"
78,126,2.10,No_helmet,0.64,Yes,-30!9,0.54,../results/plate_crops/frame000126_v0_plate.jpg,"[208.13343811035156, 128.60821533203125, 251.22433471679688, 173.16641235351562]","[245.06626892089844, 291.0786437988281, 291.4556579589844, 333.5386657714844]"
79,127,2.12,No_helmet,0.76,Yes,Low_Confidence,0.44,../results/plate_crops/frame000127_v0_plate.jpg,"[209.41000366210938, 130.17910766601562, 248.9352569580078, 173.34645080566406]","[245.1179962158203, 290.3873596191406, 287.8672790527344, 331.27716064453125]"
80,128,2.13,No_helmet,0.71,Yes,N/A,0.48,../results/plate_crops/frame000128_v0_plate.jpg,"[208.63357543945312, 130.5972900390625, 246.5707550048828, 173.26670837402344]","[242.6695098876953, 288.5054016113281, 284.1419982910156, 330.9092712402344]"
